Tiempo (ms);Ángulo 1
0;122.822158813477
33;123.109420776367
67;123.426078796387
100;123.778038024902
133;124.143043518066
167;124.461471557617
200;124.62020111084
234;124.47785949707
267;123.967742919922
300;123.176231384277
334;122.265853881836
367;121.356216430664
400;120.516120910645
434;119.789199829102
467;119.188262939453
500;118.716979980469
534;118.403625488281
567;118.293792724609
601;118.422546386719
634;118.796661376953
667;119.392951965332
701;120.163986206055
734;121.025131225586
767;121.850532531738
801;122.530204772949
834;123.033645629883
868;123.406845092773
901;123.729789733887
934;124.074829101563
968;124.462356567383
1001;124.827568054199
1034;125.037063598633
1068;124.960060119629
1101;124.547225952148
1134;123.855438232422
1168;123.001190185547
1201;122.091285705566
1235;121.195152282715
1268;120.368476867676
1301;119.671783447266
1335;119.148208618164
1368;118.811019897461
1401;118.686737060547
1435;118.842247009277
1468;119.31787109375
1502;120.043334960938
1535;120.84977722168
1568;121.566558837891
1602;122.11376953125
1635;122.518196105957
1668;122.857795715332
1702;123.197212219238
1735;123.55638885498
1768;123.91828918457
1802;124.266204833984
1835;124.608932495117
1869;124.946342468262
1902;125.20002746582
1935;125.208282470703
1969;124.852401733398
2002;124.185607910156
2035;123.369514465332
2069;122.522705078125
2102;121.687728881836
2135;120.882629394531
2169;120.135734558105
2202;119.479873657227
2236;118.929634094238
2269;118.478294372559
2302;118.122711181641
2336;117.881935119629
2369;117.779930114746
2402;117.821319580078
2436;117.98509979248
2469;118.233497619629
2502;118.547485351563
2536;118.950065612793
2569;119.470817565918
2603;120.109657287598
2636;120.846603393555
2669;121.650276184082
2703;122.467849731445
2736;123.224128723145
2769;123.846466064453
2803;124.313415527344
2836;124.677368164063
2870;125.021041870117
2903;125.381454467773
2936;125.705024719238
2970;125.865921020508
3003;125.72484588623
3036;125.216194152832
3070;124.417114257813
3103;123.482620239258
3136;122.514808654785
3170;121.558403015137
3203;120.669044494629
3237;119.916687011719
3270;119.355285644531
3303;119.008491516113
3337;118.885040283203
3370;119.015556335449
3403;119.429817199707
3437;120.088348388672
3470;120.900550842285
3504;121.793395996094
3537;122.696685791016
3570;123.50707244873
3604;124.135765075684
3637;124.577415466309
3670;124.914459228516
3704;125.250305175781
3737;125.616683959961
3770;125.926643371582
3804;125.999656677246
3837;125.678031921387
3871;124.987731933594
3904;124.115776062012
3937;123.198661804199
3971;122.249580383301
4004;121.280487060547
4037;120.377861022949
4071;119.646606445313
4104;119.124740600586
4137;118.770790100098
4171;118.532577514648
4204;118.411666870117
4238;118.44425201416
4271;118.642066955566
4304;118.980979919434
4338;119.432266235352
4371;119.986724853516
4404;120.657684326172
4438;121.455268859863
4471;122.332473754883
4504;123.170150756836
4538;123.854141235352
4571;124.36043548584
4605;124.748062133789
4638;125.098983764648
4671;125.458648681641
4705;125.788764953613
4738;125.974014282227
4771;125.881301879883
4805;125.435646057129
4838;124.681030273438
4872;123.751045227051
4905;122.770599365234
4938;121.819282531738
4972;120.958740234375
5005;120.24543762207
5038;119.730674743652
5072;119.466987609863
5105;119.500686645508
5138;119.840644836426
5172;120.428840637207
5205;121.161491394043
5239;121.955116271973
5272;122.759643554688
5305;123.507362365723
5339;124.122146606445
5372;124.590942382813
5405;124.968116760254
5439;125.312469482422
5472;125.644058227539
5506;125.911026000977
5539;125.967132568359
5572;125.662078857422
5606;124.997833251953
5639;124.125762939453
5672;123.195777893066
5706;122.285263061523
5739;121.432487487793
5772;120.675918579102
5806;120.071266174316
5839;119.673141479492
5873;119.520919799805
5906;119.653137207031
5939;120.083389282227
5973;120.755966186523
6006;121.570457458496
6039;122.432640075684
6073;123.251663208008
6106;123.930503845215
6139;124.419036865234
6173;124.771789550781
6206;125.105514526367
6240;125.481719970703
6273;125.838943481445
6306;126.017578125
