Tiempo (ms);Ángulo 1
18218;119.125480651855
18252;119.054756164551
18285;119.241485595703
18318;119.695365905762
18352;120.335159301758
18385;121.051567077637
18418;121.781288146973
18452;122.502723693848
18485;123.18643951416
18518;123.790855407715
18552;124.292282104492
18585;124.692741394043
18619;125.010261535645
18652;125.271759033203
18685;125.511375427246
18719;125.767127990723
18752;126.066375732422
18785;126.41056060791
18819;126.765441894531
18852;127.048797607422
18886;127.129806518555
18919;126.893684387207
18952;126.356788635254
18986;125.674835205078
19019;124.981628417969
19052;124.279319763184
19086;123.531265258789
19119;122.765411376953
19152;122.046463012695
19186;121.416313171387
19219;120.873474121094
19253;120.388519287109
19286;119.93383026123
19319;119.499977111816
19353;119.098388671875
19386;118.753753662109
19419;118.48934173584
19453;118.317932128906
19486;118.240272521973
19520;118.251724243164
19553;118.353393554688
19586;118.545021057129
19620;118.807373046875
19653;119.105613708496
