Tiempo (ms);Ángulo 1
9532;-21.3249702453613
9565;-20.8138561248779
9599;-20.6035652160645
9632;-21.0906143188477
9665;-22.5435352325439
9699;-24.7472610473633
9732;-26.9436149597168
9765;-28.3625679016113
9799;-28.5333938598633
9832;-27.389030456543
9865;-25.5285224914551
9899;-23.9083080291748
9932;-22.9702243804932
9965;-22.4081401824951
9998;-21.7109279632568
10032;-20.6256408691406
10065;-19.2350807189941
10099;-17.8305988311768
10132;-16.6868286132813
10165;-15.9050273895264
10199;-15.4715909957886
10232;-15.3922071456909
10265;-15.7727661132813
10298;-16.7692985534668
10332;-18.3358745574951
10365;-20.0859889984131
10398;-21.5311107635498
10432;-22.331335067749
10465;-22.3907165527344
10499;-21.9911270141602
10532;-21.6495552062988
10565;-21.740083694458
10598;-22.5166664123535
10632;-24.1276988983154
10665;-26.2571296691895
10698;-28.2251377105713
10732;-29.4075775146484
10765;-29.2912464141846
10798;-27.7859344482422
10832;-25.6811866760254
10865;-24.0775241851807
10898;-23.3374824523926
10932;-22.9728622436523
10965;-22.3172550201416
10998;-21.0755176544189
11032;-19.4281024932861
11065;-17.8296031951904
11098;-16.6708374023438
11132;-16.021556854248
11165;-15.7477216720581
11198;-15.8745155334473
11232;-16.6308422088623
11265;-18.0534038543701
11298;-19.7660236358643
11332;-21.3208503723145
11365;-22.530481338501
11398;-23.2697143554688
11432;-23.3675632476807
11465;-22.9820098876953
11498;-22.6380996704102
11532;-22.804407119751
11565;-23.7481288909912
11598;-25.4910202026367
11632;-27.6446933746338
11665;-29.5439453125
11698;-30.4865322113037
11732;-29.9462890625
11765;-28.0759391784668
11798;-25.8783760070801
11832;-24.3943920135498
11865;-23.8033180236816
11898;-23.4967212677002
11932;-22.7940845489502
11965;-21.4547328948975
11998;-19.7208194732666
12032;-18.0738620758057
12065;-16.9104137420654
12098;-16.3291454315186
12132;-16.2379951477051
12165;-16.6754302978516
12198;-17.8046054840088
12232;-19.4773426055908
12265;-21.1670513153076
12298;-22.5309429168701
12331;-23.5960445404053
12365;-24.2704753875732
12398;-24.3080635070801
12431;-23.8652744293213
12465;-23.517614364624
12498;-23.8011512756348
12531;-24.9998989105225
12565;-26.9957160949707
12598;-29.2050285339355
12631;-30.8642654418945
12665;-31.3127937316895
12698;-30.2620162963867
12731;-28.1828899383545
12765;-26.1246318817139
12798;-24.8425445556641
12831;-24.2889251708984
12865;-23.8978824615479
12898;-23.1105060577393
12931;-21.7151145935059
12965;-19.9431285858154
12998;-18.3026962280273
13031;-17.2073535919189
13065;-16.7595386505127
13098;-16.9364433288574
13131;-17.8027420043945
13165;-19.2922992706299
13198;-20.9606456756592
13231;-22.3850135803223
13265;-23.613037109375
13298;-24.7343082427979
13331;-25.387882232666
13365;-25.2638721466064
13398;-24.6946315765381
13431;-24.3714847564697
13465;-24.859992980957
13498;-26.3595142364502
13531;-28.5054492950439
13565;-30.5608825683594
13598;-31.8543758392334
13631;-31.8733196258545
13665;-30.4504661560059
13698;-28.196985244751
13731;-26.2137699127197
13765;-25.1199645996094
13798;-24.6465110778809
13831;-24.1057910919189
13865;-23.0151958465576
13898;-21.3725910186768
13931;-19.5636196136475
13964;-18.0557079315186
13998;-17.1259155273438
14031;-16.8864917755127
14064;-17.454704284668
14098;-18.7925872802734
14131;-20.4348220825195
14164;-21.8666477203369
14198;-23.1126670837402
14231;-24.4028167724609
14265;-25.4655361175537
14298;-25.7864227294922
14331;-25.4049892425537
14364;-24.9405956268311
14398;-25.0013198852539
14431;-25.9308242797852
14464;-27.7235450744629
14498;-29.8693809509277
14531;-31.6739120483398
14564;-32.619010925293
14598;-32.2781829833984
14631;-30.6004772186279
14664;-28.3438014984131
14698;-26.5322189331055
14731;-25.5155601501465
14764;-24.8719024658203
14798;-23.9967613220215
14831;-22.6170787811279
14864;-20.9392948150635
14898;-19.4303092956543
14931;-18.4174385070801
14964;-17.9167995452881
14998;-17.8787002563477
15031;-18.4659595489502
15064;-19.7828197479248
15098;-21.4373073577881
15131;-22.9154796600342
15164;-24.1953392028809
15198;-25.398868560791
15231;-26.1987285614014
15264;-26.2188720703125
15298;-25.736743927002
15331;-25.4487686157227
15364;-25.8267288208008
15398;-27.0269336700439
15431;-28.8983154296875
15464;-30.9241428375244
15498;-32.5366363525391
15531;-33.2361297607422
15564;-32.545223236084
15598;-30.5832443237305
15631;-28.3538303375244
15664;-26.8126831054688
15698;-25.9826908111572
15731;-25.2445583343506
15764;-24.1220817565918
15798;-22.6665916442871
15831;-21.2552490234375
15864;-20.1321353912354
15898;-19.2271060943604
