Tiempo (ms);Ángulo 1
0;-2.52085089683533
33;-2.50813841819763
68;-1.85895788669586
102;-0.363896489143372
135;1.58160209655762
168;3.21503949165344
202;4.14807653427124
237;4.76537609100342
270;5.65694093704224
303;7.05887174606323
337;8.88699626922607
372;10.8301372528076
405;12.4040622711182
438;13.216986656189
472;13.300350189209
507;13.0253839492798
540;12.5820751190186
573;11.7865314483643
607;10.5217704772949
642;9.03478527069092
675;7.60505867004395
708;6.23900270462036
742;4.85577440261841
777;3.47200322151184
810;2.16260623931885
843;1.06571090221405
877;0.361689567565918
912;0.110510051250458
945;0.12341620773077
978;0.0350130461156368
1012;-0.438711315393448
1045;-1.26984477043152
1080;-2.1309289932251
1113;-2.63050532341003
1147;-2.49485325813293
1180;-1.56280338764191
1215;0.0715899616479874
1248;1.8923898935318
1282;3.38744950294495
1315;4.55537080764771
1350;5.72053384780884
1383;7.11812496185303
1417;8.76318264007568
1450;10.5154180526733
1485;12.1117486953735
1518;13.1827735900879
1552;13.4706974029541
1585;13.0068559646606
1620;11.960521697998
1653;10.4916486740112
1687;8.85378646850586
1720;7.3795166015625
1755;6.15079832077026
1788;4.90202236175537
1822;3.46408653259277
1855;2.12462425231934
1888;1.32760608196259
1923;1.07651913166046
1957;0.8806192278862
1990;0.301575005054474
2023;-0.619380950927734
2058;-1.34792971611023
2092;-1.19111943244934
2125;0.115065209567547
2158;2.08125329017639
2193;3.86967015266418
2227;4.97197818756104
2260;5.46321964263916
2293;5.92487192153931
2328;7.03414154052734
2362;8.88982105255127
2395;10.9934968948364
2428;12.7664909362793
2463;13.7611656188965
2497;13.8799333572388
2530;13.509859085083
2563;13.0085201263428
2598;12.2763795852661
2632;11.1214437484741
2665;9.70126819610596
2698;8.25615406036377
2732;6.73065662384033
2767;5.18703126907349
2800;4.2711353302002
2833;4.58992195129395
2867;5.85776233673096
2902;7.30067300796509
2935;8.59982109069824
2968;9.90393543243408
3002;11.2577409744263
3037;12.2766914367676
3070;12.330940246582
3103;11.1898593902588
3137;9.37748432159424
3172;7.71056318283081
3205;6.54574489593506
3238;5.53420162200928
3272;4.17617464065552
3307;2.66383767127991
3340;1.93381464481354
3373;2.48552298545837
3407;3.37262535095215
3442;3.11430859565735
3475;1.43510460853577
3508;-0.560046970844269
3542;-1.60073816776276
3575;-1.16976356506348
3610;0.453347414731979
3643;2.51070356369019
3677;4.15180110931396
3710;5.03590393066406
3745;5.58026361465454
3778;6.3852710723877
3812;7.72502326965332
3845;9.58280086517334
3880;11.6662502288818
3913;13.3972005844116
3947;14.2747602462769
3980;14.3535165786743
4015;14.1130170822144
4048;13.7637395858765
4082;13.058798789978
4115;11.8577632904053
4150;10.405743598938
4183;8.96728515625
4217;7.57321214675903
4250;6.17633247375488
4283;4.77345991134644
4318;3.40319132804871
4352;2.20529079437256
4385;1.41135263442993
4418;1.11014866828918
4453;1.06148409843445
4487;0.89991819858551
4520;0.446490615606308
4553;-0.261096328496933
4588;-1.03656339645386
4622;-1.57771754264832
4655;-1.5726546049118
4688;-0.795354425907135
4723;0.74326765537262
4757;2.61180639266968
4790;4.24302768707275
4823;5.48412275314331
4858;6.62742519378662
