Time,Dorsiflexión
0.0,5.34755
0.8333333333337576,5.12491
1.6666666666669234,4.8148
2.500000000000089,4.41848
3.333333333333847,3.94622
4.166666666667012,3.41763
5.000000000000178,2.86065
5.833333333333343,2.30904
6.666666666667101,1.79887
7.5000000000002665,1.36454
8.333333333333432,1.03517
9.166666666666599,0.831762
10.000000000000355,0.765469
10.83333333333352,0.837179
11.666666666666686,1.03831
12.500000000000444,1.35257
13.333333333333611,1.75836
14.166666666666774,2.23128
14.999999999999941,2.7465
15.833333333333698,3.28084
16.666666666666863,3.81426
17.50000000000003,4.33091
18.333333333333787,4.81954
19.166666666666956,5.27341
20.000000000000117,5.6899
20.833333333333286,6.06968
21.66666666666704,6.41587
22.500000000000206,6.7331
23.33333333333337,7.02675
24.16666666666713,7.30229
25.000000000000295,7.56482
25.833333333333464,7.81888
26.66666666666663,8.06827
27.500000000000384,8.3161
28.33333333333355,8.56478
29.166666666666718,8.81606
29.999999999999883,9.07105
30.83333333333364,9.3303
31.666666666666803,9.59388
32.499999999999964,9.8615
33.33333333333373,10.1327
34.16666666666689,10.407
35.00000000000006,10.6841
35.83333333333322,10.964
36.666666666666984,11.247
37.50000000000015,11.5337
38.333333333333314,11.8251
39.16666666666707,12.1221
40.000000000000234,12.4251
40.83333333333341,12.7344
41.66666666666657,13.0487
42.50000000000033,13.3654
43.33333333333349,13.6797
44.16666666666666,13.9839
45.00000000000041,14.2672
45.833333333333584,14.5153
46.66666666666674,14.71
47.49999999999991,14.83
48.33333333333367,14.851
49.166666666666835,14.7472
50.0,14.4926
50.833333333333165,14.0629
51.66666666666693,13.4375
52.50000000000009,12.6019
53.33333333333326,11.5496
54.166666666667005,10.2839
55.000000000000185,8.81948
55.83333333333334,7.18237
56.66666666666651,5.4099
57.50000000000026,3.54929
58.333333333333435,1.6556
59.1666666666666,-0.211025
60.000000000000355,-1.98849
60.83333333333351,-3.61616
61.66666666666669,-5.03837
62.49999999999986,-6.20779
63.333333333333606,-7.08837
64.16666666666677,-7.65773
64.99999999999993,-7.90856
65.8333333333337,-7.84877
66.66666666666686,-7.50011
67.50000000000003,-6.89556
68.33333333333319,-6.07601
69.16666666666696,-5.08691
70.00000000000011,-3.97542
70.83333333333329,-2.7881
71.66666666666644,-1.56917
72.50000000000021,-0.359192
73.33333333333337,0.805843
74.16666666666654,1.89524
75.0000000000003,2.88404
75.83333333333346,3.75339
76.66666666666663,4.49067
77.49999999999979,5.08947
78.33333333333356,5.54941
79.16666666666671,5.87563
79.99999999999989,6.07819
80.83333333333364,6.17117
81.66666666666681,6.17176
82.49999999999997,6.09921
83.33333333333314,5.97368
84.16666666666688,5.81511
85.00000000000007,5.64203
85.83333333333323,5.47035
86.66666666666698,5.3123
87.50000000000014,5.17553
88.33333333333331,5.06263
89.16666666666649,4.97097
90.00000000000024,4.89323
90.8333333333334,4.81826
91.66666666666656,4.73252
92.49999999999974,4.62176
93.33333333333348,4.47288
94.16666666666666,4.2758
94.99999999999982,4.0252
95.83333333333358,3.72182
96.66666666666674,3.37333
97.49999999999991,2.99449
98.33333333333307,2.60626
99.16666666666684,2.23404
100.0,1.90474
