Time_Percentage,Angle
0.0,5.7555236816409945
0.07151796888968354,5.720962524414006
0.1519756838905775,5.685752868652003
0.22349365278026107,5.647117614745994
0.29501162166994455,5.603927612305
0.37546933667083854,5.557891845702997
0.44698730556052213,5.512313842772997
0.5185052744502057,5.470001220702997
0.5989629894510996,5.431884765625
0.6704809583407831,5.396705627440994
0.7419989272304667,5.362030029297003
0.8224566422313607,5.325805664062003
0.8939746111210443,5.287086486815994
0.9654925800107277,5.245864868164006
1.0459502950116217,5.202590942382997
1.1174682639013052,5.15788269043
1.1889862327909888,5.112350463867003
1.2694439477918829,5.066459655762003
1.3409619166815663,5.020614624022997
1.41247988557125,4.975036621094006
1.4929376005721438,4.92985534668
1.5644555694618274,4.88508605957
1.6359735383515108,4.840660095215
1.7164312533524049,4.796424865722997
1.7879492222420885,4.752304077147997
1.859467191131772,4.708427429199006
1.939924906132666,4.665092468262003
2.0114428750223494,4.62264251709
2.082960843912033,4.58122253418
2.163418558912927,4.540626525879006
2.2349365278026103,4.500267028809006
2.306454496692294,4.459342956542997
2.386912211693188,4.417053222655994
2.4584301805828717,4.372299194335994
2.5388878955837657,4.323417663574006
2.610405864473449,4.268508911132997
2.6819238333631326,4.20637512207
2.7623815483640266,4.137908935547003
2.8338995172537103,4.066993713379006
2.9054174861433935,3.9987640380859943
2.9858752011442875,3.9364852905270027
3.057393170033971,3.88094329834
3.128911138923655,3.831848144530994
3.2093688539245484,3.7883453369140057
3.280886822814232,3.7491226196290057
3.3524047917039153,3.7133102416990056
3.4328625067048097,3.681045532227003
3.504380475594493,3.65234375
3.575898444484177,3.6252899169920028
3.6563561594850706,3.5966415405270027
3.7278741283747543,3.5644683837890057
3.7993920972644375,3.528511047362997
3.879849812265332,3.488502502440994
3.951367781155015,3.4447250366209943
4.022885750044699,3.399360656737997
4.103343465045593,3.355735778809006
4.174861433935276,3.31583404541
4.246379402824959,3.2790908813479973
4.326837117825854,3.2435302734370026
4.398355086715537,3.207489013672003
4.469873055605221,3.170059204102003
4.550330770606115,3.1311187744140057
4.621848739495799,3.0909118652340055
4.693366708385482,3.0494079589840055
4.773824423386376,3.006355285645
4.845342392276059,2.9623031616209943
4.916860361165743,2.9186859130859943
4.9973180761666365,2.8768005371090055
5.068836045056321,2.837104797362997
5.140354013946004,2.7989273071290057
5.220811728946898,2.7615432739259944
5.292329697836581,2.7251968383790057
5.363847666726265,2.6901397705079972
5.444305381727159,2.6552276611329972
5.515823350616842,2.619079589844006
5.596281065617736,2.581565856934006
5.6677990345074205,2.543403625487997
5.739317003397104,2.5054931640620026
5.819774718397998,2.469078063965
5.891292687287681,2.436088562012003
5.962810656177365,2.4090576171870026
6.043268371178258,2.390892028809006
6.114786340067942,2.3836135864259944
6.1863043089576255,2.385627746582003
6.26676202395852,2.390113830565994
6.338279992848203,2.3881378173829972
6.409797961737887,2.374626159667997
6.490255676738781,2.3503875732420028
6.561773645628464,2.319091796875
6.633291614518148,2.2842178344729973
6.713749329519042,2.248664855957003
6.785267298408725,2.214302062987997
6.856785267298409,2.1815185546870026
6.937242982299302,2.149932861327997
7.008760951188986,2.119110107422003
7.08027892007867,2.088752746582003
7.160736635079563,2.058403015137003
7.232254603969247,2.0273895263670028
7.303772572858931,1.9952468872070028
7.3842302878598245,1.9620285034179972
7.455748256749509,1.928115844727003
7.527266225639191,1.8936538696290057
7.607723940640086,1.8583602905270027
7.679241909529769,1.8221359252929972
7.750759878419452,1.7856063842770027
7.831217593420346,1.7497634887700002
7.90273556231003,1.7152328491209943
7.974253531199714,1.6820526123050001
8.054711246200608,1.64998626709
8.12622921509029,1.61873626709
8.197747183979976,1.587783813477003
8.278204898980869,1.5569458007809942
8.349722867870552,1.5267257690429972
8.430180582871447,1.4979858398440058
8.50169855176113,1.4711151123050001
8.573216520650814,1.445610046387003
8.653674235651708,1.4205093383790057
8.72519220454139,1.3953247070309942
8.796710173431075,1.3700485229490056
8.877167888431968,1.3443603515620026
8.948685857321651,1.3176879882809942
9.020203826211336,1.2898025512700002
9.10066154121223,1.2609634399409941
9.172179510101913,1.2313842773440058
9.243697478991598,1.201278686522997
9.32415519399249,1.1708374023440058
9.395673162882174,1.1401138305659941
9.467191131771857,1.109184265137003
9.547648846772752,1.0783309936520027
9.619166815662435,1.047988891602003
9.690684784552118,1.0189971923829972
9.771142499553012,0.9926681518549998
9.842660468442697,0.970565795897997
9.91417843733238,0.954536437987997
9.994636152333273,0.9467468261720029
10.066154121222958,0.9490509033199999
10.137672090112641,0.961318969727003
10.218129805113534,0.980415344237997
10.28964777400322,1.0022125244140057
10.3611657428929,1.025230407715
10.441623457893796,1.051300048827997
10.513141426783479,1.0829086303709943
10.584659395673162,1.121635437012003
10.665117110674057,1.1691741943359943
10.73663507956374,1.2265243530270027
10.808153048453423,1.2912979125979973
10.888610763454318,1.3580780029300001
10.960128732344002,1.4215621948240056
11.031646701233685,1.4782638549799998
11.11210441623458,1.5258331298829972
11.183622385124263,1.5626678466800001
11.255140354013946,1.58935546875
11.335598069014841,1.6101303100590059
11.407116037904522,1.6313095092770027
11.487573752905417,1.6576461791990056
11.5590917217951,1.6905593872070028
11.630609690684784,1.729194641112997
11.711067405685679,1.7719345092770027
11.782585374575362,1.8171768188479973
11.854103343465045,1.8636779785159945
11.93456105846594,1.9105758666990056
12.006079027355623,1.9573364257809942
12.077596996245306,2.0037612915040057
12.158054711246201,2.0500869750979973
12.229572680135885,2.096817016602003
12.301090649025568,2.14461517334
12.381548364026463,2.19409942627
12.453066332916144,2.24584197998
